0,011_S_0003
1,022_S_0004
2,100_S_0006
3,011_S_0008
4,011_S_0010
5,022_S_0014
6,067_S_0019
7,011_S_0022
8,011_S_0023
9,067_S_0029
10,067_S_0038
11,099_S_0040
265,007_S_0041
266,022_S_0044
12,067_S_0045
13,100_S_0047
267,123_S_0050
14,099_S_0051
15,099_S_0054
17,067_S_0059
18,099_S_0060
268,022_S_0066
19,007_S_0070
20,067_S_0076
21,067_S_0077
22,018_S_0080
23,023_S_0083
24,023_S_0084
25,136_S_0086
26,018_S_0087
27,073_S_0089
28,023_S_0093
29,123_S_0094
30,032_S_0095
31,022_S_0096
32,007_S_0101
269,130_S_0102
33,136_S_0107
34,099_S_0111
35,127_S_0112
270,027_S_0118
36,027_S_0120
37,023_S_0126
38,068_S_0127
39,022_S_0129
271,128_S_0135
40,023_S_0139
41,032_S_0147
272,098_S_0149
42,037_S_0150
273,137_S_0158
43,098_S_0172
44,067_S_0177
275,100_S_0190
46,136_S_0194
47,035_S_0204
48,068_S_0210
49,020_S_0213
50,032_S_0214
276,128_S_0216
51,005_S_0221
277,005_S_0222
52,021_S_0231
53,013_S_0240
54,067_S_0243
55,027_S_0256
56,127_S_0260
57,128_S_0266
58,098_S_0269
60,130_S_0285
61,018_S_0286
62,099_S_0291
63,035_S_0292
278,007_S_0293
64,031_S_0294
65,136_S_0299
66,136_S_0300
67,027_S_0307
68,128_S_0310
69,041_S_0314
279,007_S_0316
70,131_S_0319
71,031_S_0321
280,011_S_0326
72,023_S_0331
73,067_S_0336
74,035_S_0341
75,007_S_0344
76,116_S_0361
77,011_S_0362
78,137_S_0366
281,099_S_0372
79,114_S_0374
80,023_S_0376
81,114_S_0378
82,073_S_0386
83,023_S_0388
282,123_S_0390
84,032_S_0400
85,068_S_0401
86,027_S_0404
87,114_S_0410
88,027_S_0417
284,130_S_0423
91,136_S_0429
92,127_S_0431
285,131_S_0441
93,068_S_0442
94,137_S_0443
286,041_S_0446
95,005_S_0448
96,130_S_0449
97,037_S_0454
99,137_S_0459
100,057_S_0464
101,099_S_0470
102,010_S_0472
287,057_S_0474
103,068_S_0478
104,137_S_0481
105,133_S_0488
106,006_S_0498
107,037_S_0501
108,130_S_0505
109,053_S_0507
110,033_S_0511
111,033_S_0514
112,033_S_0516
113,128_S_0517
114,073_S_0518
115,014_S_0519
288,094_S_0531
116,062_S_0535
117,022_S_0543
119,006_S_0547
120,002_S_0559
289,073_S_0565
121,037_S_0566
123,036_S_0577
124,136_S_0579
290,037_S_0588
125,005_S_0602
126,126_S_0606
127,067_S_0607
128,005_S_0610
129,002_S_0619
130,053_S_0621
131,023_S_0625
262,021_S_0626
133,027_S_0644
293,116_S_0648
134,116_S_0649
294,014_S_0658
136,052_S_0671
137,036_S_0672
138,036_S_0673
139,032_S_0677
140,126_S_0680
141,018_S_0682
142,002_S_0685
143,137_S_0686
296,062_S_0690
297,141_S_0697
144,032_S_0718
145,012_S_0720
298,137_S_0722
146,033_S_0723
299,033_S_0724
147,033_S_0725
148,002_S_0729
149,033_S_0733
150,033_S_0739
151,073_S_0746
152,036_S_0748
154,009_S_0751
155,021_S_0753
156,127_S_0754
157,016_S_0769
158,130_S_0783
300,126_S_0784
159,141_S_0790
160,133_S_0792
301,137_S_0800
302,005_S_0814
163,031_S_0821
164,116_S_0834
165,027_S_0835
166,029_S_0836
167,057_S_0839
168,029_S_0843
169,027_S_0850
170,141_S_0851
171,141_S_0852
303,023_S_0855
305,029_S_0878
306,099_S_0880
174,126_S_0891
175,100_S_0892
176,010_S_0904
177,033_S_0906
178,003_S_0908
179,133_S_0912
180,133_S_0913
307,094_S_0921
181,033_S_0923
308,127_S_0925
182,023_S_0926
183,100_S_0930
184,003_S_0931
185,012_S_0932
186,057_S_0941
187,109_S_0950
189,137_S_0973
190,032_S_0978
191,137_S_0994
310,035_S_0997
192,041_S_1002
193,041_S_1010
194,033_S_1016
195,009_S_1030
196,012_S_1033
197,099_S_1034
198,137_S_1041
199,128_S_1043
200,053_S_1044
201,023_S_1046
202,141_S_1052
203,052_S_1054
204,133_S_1055
205,003_S_1059
206,100_S_1062
312,029_S_1073
207,068_S_1075
208,126_S_1077
209,082_S_1079
210,027_S_1082
211,128_S_1088
212,022_S_1097
213,021_S_1109
214,016_S_1117
314,013_S_1120
215,023_S_1126
216,006_S_1130
217,141_S_1137
218,127_S_1140
219,099_S_1144
220,128_S_1148
221,013_S_1161
315,052_S_1168
222,032_S_1169
223,133_S_1170
224,024_S_1171
225,126_S_1187
226,023_S_1190
316,130_S_1200
227,941_S_1203
228,007_S_1206
317,031_S_1209
318,027_S_1213
229,057_S_1217
230,126_S_1221
319,005_S_1224
320,037_S_1225
231,136_S_1227
232,129_S_1246
233,023_S_1247
235,067_S_1253
236,041_S_1260
237,023_S_1262
238,057_S_1265
321,002_S_1268
239,057_S_1269
240,033_S_1281
241,033_S_1285
242,130_S_1290
244,094_S_1293
323,007_S_1304
245,024_S_1307
246,033_S_1309
247,116_S_1315
248,012_S_1321
324,094_S_1330
249,130_S_1337
325,007_S_1339
250,022_S_1351
327,052_S_1352
251,009_S_1354
328,057_S_1371
253,072_S_1380
254,127_S_1382
255,022_S_1394
256,094_S_1397
257,094_S_1398
331,094_S_1402
258,128_S_1409
259,137_S_1414
260,127_S_1419
261,041_S_1423
