,1,2,3
VENTRICLES,0.07486560867074314,0.02153353440661349,0.19420286937641512
LHIPPOC,0.5325790013316528,0.46815151811902367,0.4462215786204011
RHIPPOC,0.48134288949716436,0.1727733581536719,0.39891545010221063
LINFLATVEN,0.11883964143305673,0.1984161178099053,0.22954663436784817
RINFLATVEN,0.13018133970818319,0.18351878328835883,0.11951969229703088
LMIDTEMP,0.1264197247850409,0.173256759283758,0.196837864479778
RMIDTEMP,0.24450801911712652,0.14245443428216353,0.2753159189401875
LINFTEMP,0.18412158608193308,0.30893658036078353,0.2816568695726015
RINFTEMP,0.22856200609538227,0.06725999329165816,0.1792991648422359
LFUSIFORM,0.10046663738516563,0.2511486852154093,0.14238264785646323
RFUSIFORM,0.09616003087055497,0.1932878491763303,0.132934103236703
LENTORHIN,0.38913392392382673,0.5317402984062741,0.4466710862833065
RENTORHIN,0.3395890962523125,0.37948813225727834,0.27125497494419937
